Dimension,Segment,Matches,Correct,Errors,AccuracyPct,DrawRatePct,MeanTopProbability,MeanMarketMargin,MeanOver25Probability,MeanAbsXGDDifference,MeanAbsEWXGDDifference
AsianHandicap,>=+1.25,56,44,12,78.57142857142857,14.285714285714285,0.7077184306545793,0.5317652864261825,0.6303603094410073,1.5671390945723245,1.5918440532759601
AsianHandicap,<=-1.25,128,96,32,75.0,17.96875,0.7657140289381963,0.6204450707953473,0.6686032423842836,1.2843746827871982,1.2937698940049995
AsianHandicap,Level,266,114,152,42.857142857142854,26.31578947368421,0.4034206123876754,0.07754122793626064,0.5374700407357501,0.4157205189310023,0.44013291907856045
AsianHandicap,-0.5/-0.25,215,113,102,52.55813953488372,23.72093023255814,0.5234279216975409,0.27172709767060055,0.5559025988532822,0.4625665412442973,0.4523380487856295
AsianHandicap,+0.25/+0.5,182,75,107,41.208791208791204,27.472527472527474,0.4509163130755331,0.15963024726822753,0.5606757588839224,0.6877649967699843,0.7034167588140442
AsianHandicap,+0.75/+1.0,109,65,44,59.63302752293578,28.440366972477065,0.5738738499169362,0.34310660585022884,0.5792449033208433,1.0187532951555032,1.063141325166688
AsianHandicap,-1.0/-0.75,143,87,56,60.83916083916085,24.475524475524477,0.6355516939462025,0.4273683480976868,0.5964056121880722,0.6927922333131946,0.6766701112048156
AbsEWXGD,0.60-1.00,262,149,113,56.87022900763359,24.427480916030532,0.5285159962437663,0.27081094722787225,0.5745535931932485,0.7499155493746189,0.7882231467103595
AbsEWXGD,1.00+,305,205,100,67.21311475409836,20.327868852459016,0.6344998780415692,0.427217967710887,0.6113144952842405,1.4165942155324396,1.4691601153383773
AbsEWXGD,<0.20,181,84,97,46.408839779005525,28.7292817679558,0.4785060959271859,0.19564294423499498,0.5593586043475951,0.18704713789883146,0.09951856860528116
AbsEWXGD,0.20-0.40,184,71,113,38.58695652173913,29.891304347826086,0.49058766794216974,0.21713872276513396,0.5532345982795486,0.29487970914591954,0.28948292467354514
AbsEWXGD,0.40-0.60,168,86,82,51.19047619047619,20.833333333333336,0.503023448880751,0.23345944701811935,0.5618318719805789,0.4840603811811493,0.5006307461654836
FootballVsMarket,Agree,763,440,323,57.66710353866317,23.591087811271297,0.5712392459468799,0.3346632330988054,0.5859274097695022,0.9115170570656798,0.9338361033656142
FootballVsMarket,Neutral,181,84,97,46.408839779005525,28.7292817679558,0.4785060959271859,0.19564294423499498,0.5593586043475951,0.18704713789883146,0.09951856860528116
FootballVsMarket,Disagree,156,71,85,45.51282051282051,23.076923076923077,0.4545780735538554,0.16077316383950796,0.5519504448741571,0.4399461900879029,0.5093729246415978
