SegmentType,Segment,Matches,AccuracyPct,LogLoss,Brier,ActualDraws,ActualDrawPct,PredictedDraws,MeanHomeProbabilityPct,MeanDrawProbabilityPct,MeanAwayProbabilityPct,MeanHomeXG,MeanAwayXG
XGGap,0.50-0.75,198,55.55555555555556,0.999581027162908,0.5954948266482816,48,24.242424242424242,0,42.270445288984085,23.60289967959181,34.1266550314241,1.5358524527299875,1.3470671425548761
XGGap,0.30-0.50,206,48.05825242718447,1.0518430450071403,0.6336537010429769,50,24.271844660194176,0,39.90364740417589,24.779604836779605,35.31674775904449,1.4501825163579392,1.3474414892768642
XGGap,1.00-1.50,153,60.78431372549019,0.9289024014870688,0.5502535474593,39,25.49019607843137,0,53.99968500090742,19.58726492093176,26.413050078160822,1.8900610991740552,1.2116402750999447
XGGap,0.75-1.00,135,56.2962962962963,0.9894007645542824,0.5882240897915758,34,25.185185185185183,0,44.11849272638433,22.110341206309865,33.77116606730579,1.5969800159386185,1.3528274653242436
TotalXG,2.0-2.5,21,47.61904761904761,1.0301768488929977,0.6214605442274149,2,9.523809523809524,0,34.518097478677575,27.056756728643993,38.425145792678414,1.1674040726204973,1.2500319697600113
TotalXG,2.5-3.0,733,49.24965893587995,1.0372680649617405,0.6237015577750709,186,25.375170532060025,0,40.10182110471936,24.246696902080593,35.65148199320005,1.4508762085458278,1.349479998719289
TotalXG,3.5-4.0,40,70.0,0.8170473014300794,0.46204546986502065,6,15.0,0,71.62088588002196,13.76528458605573,14.613829533922312,2.648877985377071,1.0040511611642027
TotalXG,4.0+,9,88.88888888888889,0.3958944834684244,0.18899600444316844,0,0.0,0,76.25620251195035,9.056884472401432,14.686913015648189,3.051951524527328,1.083389683386419
TotalXG,<2.0,1,0.0,1.3636985860310558,0.8360332447680632,0,0.0,0,25.571324832741183,32.169988420920745,42.25868674633806,0.7530313613481143,1.060753383742899
TotalXG,3.0-3.5,296,56.41891891891891,0.961358609311802,0.569872051370906,74,25.0,0,51.02738747661667,20.54264613765722,28.429966385726107,1.866489024855191,1.3031736399629257
